	pct_6418_ncomp_20_pos_(22.0, 33.0)	pct_6418_ncomp_20_pos_(22.0, 33.0)
	50	100
ctr	-0.00110094	-0.00110359
sn	0.19572084	0.39972531
flux	-37.54057163	-37.63079018
	pct_6418_ncomp_40_pos_(22.0, 33.0)	pct_6418_ncomp_40_pos_(22.0, 33.0)
	50	100
ctr	0.00176378	0.00097824
sn	0.51714477	0.29670399
flux	60.14234760	33.35674850
	pct_6418_ncomp_60_pos_(22.0, 33.0)	pct_6418_ncomp_60_pos_(22.0, 33.0)
	50	100
ctr	0.00029237	0.00001809
sn	0.20127561	0.04113955
flux	9.96931905	0.61693619
	pct_6418_ncomp_80_pos_(22.0, 33.0)	pct_6418_ncomp_80_pos_(22.0, 33.0)
	50	100
ctr	-0.00006783	-0.00060529
sn	0.22940284	-0.24416951
flux	-2.31299941	-20.63945275
	pct_6418_ncomp_100_pos_(22.0, 33.0)	pct_6418_ncomp_100_pos_(22.0, 33.0)
	50	100
ctr	-0.00015661	-0.00053704
sn	0.09624046	-0.38919122
flux	-5.34019133	-18.31217688
	pct_6418_ncomp_150_pos_(22.0, 33.0)	pct_6418_ncomp_150_pos_(22.0, 33.0)
	50	100
ctr	-0.00042400	-0.00031620
sn	-0.88273817	-0.96169201
flux	-14.45784102	-10.78181722
	pct_12836_ncomp_20_pos_(22.0, 33.0)	pct_12836_ncomp_20_pos_(22.0, 33.0)
	50	100
ctr	-0.00084537	0.00115071
sn	0.07215944	0.43773751
flux	-28.82600980	39.23762553
	pct_12836_ncomp_40_pos_(22.0, 33.0)	pct_12836_ncomp_40_pos_(22.0, 33.0)
	50	100
ctr	0.00039999	0.00046066
sn	0.16041013	0.22071012
flux	13.63917465	15.70777190
	pct_12836_ncomp_60_pos_(22.0, 33.0)	pct_12836_ncomp_60_pos_(22.0, 33.0)
	50	100
ctr	-0.00040212	-0.00031548
sn	-0.03270811	-0.10160887
flux	-13.71175618	-10.75740858
	pct_12836_ncomp_80_pos_(22.0, 33.0)	pct_12836_ncomp_80_pos_(22.0, 33.0)
	50	100
ctr	-0.00022887	-0.00018702
sn	0.28264510	0.05652119
flux	-7.80425883	-6.37720468
	pct_12836_ncomp_100_pos_(22.0, 33.0)	pct_12836_ncomp_100_pos_(22.0, 33.0)
	50	100
ctr	-0.00001951	-0.00024035
sn	0.44475520	0.13403651
flux	-0.66517853	-8.19546259
	pct_12836_ncomp_150_pos_(22.0, 33.0)	pct_12836_ncomp_150_pos_(22.0, 33.0)
	50	100
ctr	-0.00025580	-0.00006708
sn	-0.34788950	0.35493652
flux	-8.72227673	-2.28731473
